23	0	4	41
21	1	7	281
19	2	10	989
17	2	12	2471
15	3	15	6033
13	4	18	7762
11	4	18	27728
9	5	19	56940
7	5	21	61550
5	6	20	132807
3	6	20	127796
5	5	21	65398
9	4	20	30328
7	4	20	33138
5	5	20	78219
7	5	18	79139
5	6	18	110915
3	7	21	170497
1	8	22	164511
3	8	22	101789
5	7	19	131879
7	6	18	96251
5	7	18	115978
3	7	16	63915
1	7	16	59340
3	6	16	47220
5	5	17	48230
7	5	17	59653
7	4	18	34438
9	3	16	10465
11	2	15	2378
9	2	15	1391
7	3	16	6404
5	4	15	9340
3	5	17	33632
1	6	16	36304
3	6	14	15271
5	6	14	18931
-1	7	19	119662
1	6	17	57123
-1	7	18	99119
5	7	14	21100
3	7	14	19788
5	6	11	2061
7	6	11	2509
5	7	12	4921
3	8	12	5829
5	8	12	5122
7	8	12	4157
5	9	13	4984
3	9	17	49097
5	8	16	47323
7	7	16	49537
7	7	19	63304
5	7	17	94014
3	7	19	167823
1	7	21	169810
3	6	22	99680
1	7	23	111878
-1	7	21	114782
5	5	23	34002
7	5	23	28329
5	6	22	93988
3	7	23	107850
1	8	24	88458
-1	8	24	88298
-1	8	26	32663
-3	9	27	13323
-1	8	27	17380
-3	9	25	45205
-5	9	21	110520
-3	8	20	141103
-5	8	18	70119
-3	8	16	63136
-5	9	17	94920
-3	8	18	119212
1	7	19	161902
3	6	18	99657
1	7	20	174458
-1	8	21	186619
-3	9	22	142067
-5	10	23	69156
-1	9	27	14942
-3	9	24	74281
-3	8	21	125212
-1	7	20	122432
1	7	22	144459
3	7	22	142848
-1	9	22	143809
1	9	22	91718
-1	9	24	77498
1	8	23	126230
1	8	21	185919
3	8	19	134809
1	9	19	120494
3	8	20	141211
1	9	23	67341
-1	10	22	64034
1	9	20	122553
3	9	18	57312
5	9	16	17224
7	8	16	22472
7	8	15	17801
9	8	13	2997
11	7	11	2115
13	6	11	2258
15	5	10	1620
13	6	9	818
15	5	11	1591
13	6	13	2426
15	5	12	1594
13	6	15	1122
11	7	16	1607
13	6	14	1662
11	6	18	7668
9	7	19	9849
5	7	21	110450
5	8	19	68709
-1	9	20	174404
-1	8	23	125560
3	6	19	123095
3	5	16	26145
5	4	16	13015
5	4	20	21980
7	3	17	8523
9	3	19	12888
7	4	22	17178
9	3	21	6150
7	4	24	5167
5	5	26	5829
3	6	23	73963
1	7	24	77179
5	5	19	73570
9	3	15	7298
7	4	16	20002
1	5	17	19527
-1	6	17	34080
-3	7	16	35195
-5	8	15	29071
-7	9	16	49393
-5	9	16	62566
-3	8	17	87190
-5	9	18	116296
-7	10	17	82874
-3	9	18	136841
-1	8	17	99660
-3	9	17	103083
-5	10	15	35125
-7	11	16	46376
-9	11	16	49217
-7	11	20	79323
-5	10	20	132712
-3	10	20	128029
-1	9	19	161413
1	8	20	196949
1	8	18	147001
-1	8	14	23585
3	8	16	63105
5	7	16	62375
3	8	15	34619
1	9	18	99855
9	6	15	35583
11	5	15	27845
7	5	19	80188
5	6	26	13017
3	6	24	47954
5	6	24	42552
5	6	23	68999
3	7	24	73639
3	7	26	25321
1	7	26	28102
3	6	25	29971
-3	10	21	122889
-5	11	19	74597
-7	11	19	80980
-5	10	18	111808
-7	11	21	62121
-9	12	20	30918
-7	11	23	28781
-9	12	21	21097
-7	11	22	45407
-5	10	25	25292
-3	10	25	29766
1	8	25	55525
3	8	21	125476
3	8	18	120106
7	6	20	90632
5	6	16	57098
1	7	17	95224
-1	8	20	196824
-3	8	22	102321
-1	7	23	67334
-5	9	25	19063
-7	9	21	35861
-3	7	15	23379
-1	7	15	30926
-9	11	14	21013
-11	12	15	24116
-13	13	14	10056
-11	12	16	28881
-13	12	12	5838
-11	11	11	3340
