23	0	4	43
21	1	7	275
19	2	10	915
17	2	12	2416
15	3	15	5860
13	4	18	7795
11	4	18	27958
9	5	19	57554
7	5	21	61515
5	6	20	133279
3	6	20	128077
5	5	21	65843
9	4	20	30389
7	4	20	33552
5	5	20	78249
7	5	18	79444
5	6	18	111074
3	7	21	170100
1	8	22	164366
3	8	22	101758
5	7	19	130879
7	6	18	96327
5	7	18	116140
3	7	16	63544
1	7	16	59169
3	6	16	47391
5	5	17	48583
7	5	17	60203
7	4	18	34441
9	3	16	10485
11	2	15	2430
9	2	15	1452
7	3	16	6475
5	4	15	9217
3	5	17	34073
1	6	16	36366
3	6	14	15227
5	6	14	18620
-1	7	19	119112
1	6	17	57543
-1	7	18	99228
5	7	14	21121
3	7	14	20046
5	6	11	2053
7	6	11	2579
5	7	12	4983
3	8	12	5937
5	8	12	5192
7	8	12	4137
5	9	13	5019
3	9	17	49147
5	8	16	47078
7	7	16	49702
7	7	19	63108
5	7	17	94668
3	7	19	167725
1	7	21	169865
3	6	22	99807
1	7	23	112114
-1	7	21	114674
5	5	23	34034
7	5	23	28573
5	6	22	93910
3	7	23	107926
1	8	24	88264
-1	8	24	88564
-1	8	26	32685
-3	9	27	13555
-1	8	27	17673
-3	9	25	45351
-5	9	21	111337
-3	8	20	140053
-5	8	18	69769
-3	8	16	63208
-5	9	17	94243
-3	8	18	120321
1	7	19	161362
3	6	18	100011
1	7	20	174316
-1	8	21	186368
-3	9	22	141831
-5	10	23	68715
-1	9	27	14772
-3	9	24	73709
-3	8	21	125517
-1	7	20	122384
1	7	22	144109
3	7	22	142757
-1	9	22	144026
1	9	22	91811
-1	9	24	77271
1	8	23	125927
1	8	21	186095
3	8	19	134157
1	9	19	119909
3	8	20	140700
1	9	23	66613
-1	10	22	63671
1	9	20	122476
3	9	18	57647
5	9	16	17307
7	8	16	22523
7	8	15	17815
9	8	13	2897
11	7	11	2148
13	6	11	2280
15	5	10	1641
13	6	9	780
15	5	11	1568
13	6	13	2427
15	5	12	1636
13	6	15	1188
11	7	16	1594
13	6	14	1714
11	6	18	7729
9	7	19	9770
5	7	21	109914
5	8	19	68452
-1	9	20	174848
-1	8	23	125370
3	6	19	122797
3	5	16	26163
5	4	16	13105
5	4	20	22364
7	3	17	8762
9	3	19	13099
7	4	22	17484
9	3	21	6219
7	4	24	5223
5	5	26	5756
3	6	23	73903
1	7	24	77232
5	5	19	74314
9	3	15	7268
7	4	16	19817
1	5	17	19770
-1	6	17	34196
-3	7	16	35561
-5	8	15	29099
-7	9	16	49309
-5	9	16	62286
-3	8	17	86831
-5	9	18	115994
-7	10	17	82602
-3	9	18	135667
-1	8	17	99134
-3	9	17	103238
-5	10	15	34812
-7	11	16	46524
-9	11	16	49367
-7	11	20	78583
-5	10	20	132807
-3	10	20	128053
-1	9	19	161246
1	8	20	195776
1	8	18	147258
-1	8	14	23945
3	8	16	62889
5	7	16	62099
3	8	15	34603
1	9	18	99519
9	6	15	35509
11	5	15	28364
7	5	19	80271
5	6	26	13364
3	6	24	48224
5	6	24	42691
5	6	23	68814
3	7	24	73942
3	7	26	25560
1	7	26	28331
3	6	25	29770
-3	10	21	122579
-5	11	19	74505
-7	11	19	81155
-5	10	18	111262
-7	11	21	61366
-9	12	20	30719
-7	11	23	28213
-9	12	21	21059
-7	11	22	45518
-5	10	25	25104
-3	10	25	29866
1	8	25	55563
3	8	21	124887
3	8	18	119415
7	6	20	90294
5	6	16	56905
1	7	17	94606
-1	8	20	196579
-3	8	22	102299
-1	7	23	67500
-5	9	25	19355
-7	9	21	35644
-3	7	15	23570
-1	7	15	31137
-9	11	14	21200
-11	12	15	24218
-13	13	14	10051
-11	12	16	28835
-13	12	12	5871
-11	11	11	3333
-9	10	14	23108
-7	10	18	96575
-5	9	19	131572
-5	9	13	13182
-5	8	12	5128
-3	8	12	5957
-1	8	12	5697
1	7	9	297
3	7	11	2684
5	7	13	13212
7	6	12	5841
9	6	12	7458
7	7	14	20763
7	7	15	36989
9	7	11	2969
3	8	17	86706
1	8	17	99172
-1	9	16	59134
1	9	16	49252
