23	0	4	40
21	1	7	244
19	2	10	944
17	2	12	2482
15	3	15	6075
13	4	18	7734
11	4	18	28106
9	5	19	57444
7	5	21	61298
5	6	20	132984
3	6	20	128432
5	5	21	65817
9	4	20	30108
7	4	20	33102
5	5	20	78383
7	5	18	79424
5	6	18	111618
3	7	21	170971
1	8	22	165475
3	8	22	102117
5	7	19	131904
7	6	18	96203
5	7	18	116316
3	7	16	63711
1	7	16	59317
3	6	16	47346
5	5	17	48816
7	5	17	60584
7	4	18	33928
9	3	16	10424
11	2	15	2364
9	2	15	1360
7	3	16	6342
5	4	15	9254
3	5	17	33839
1	6	16	36420
3	6	14	15083
5	6	14	18552
-1	7	19	119401
1	6	17	57113
-1	7	18	99276
5	7	14	21343
3	7	14	20163
5	6	11	2025
7	6	11	2664
5	7	12	4916
3	8	12	5840
5	8	12	5203
7	8	12	4079
5	9	13	5026
3	9	17	49435
5	8	16	47054
7	7	16	49159
7	7	19	63017
5	7	17	94501
3	7	19	168088
1	7	21	170392
3	6	22	100145
1	7	23	112360
-1	7	21	114450
5	5	23	33843
7	5	23	28483
5	6	22	94574
3	7	23	108508
1	8	24	89057
-1	8	24	88931
-1	8	26	33252
-3	9	27	13522
-1	8	27	17435
-3	9	25	45607
-5	9	21	110295
-3	8	20	141311
-5	8	18	69750
-3	8	16	63711
-5	9	17	94548
-3	8	18	119547
1	7	19	161841
3	6	18	100176
1	7	20	173832
-1	8	21	186486
-3	9	22	141938
-5	10	23	68599
-1	9	27	14931
-3	9	24	73579
-3	8	21	125315
-1	7	20	122344
1	7	22	143792
3	7	22	142639
-1	9	22	144577
1	9	22	92129
-1	9	24	76842
1	8	23	126078
1	8	21	186577
3	8	19	134009
1	9	19	119421
3	8	20	141103
1	9	23	67023
-1	10	22	63250
1	9	20	123061
3	9	18	57821
5	9	16	17254
7	8	16	22513
7	8	15	17629
9	8	13	2966
11	7	11	2213
13	6	11	2375
15	5	10	1651
13	6	9	846
15	5	11	1575
13	6	13	2394
15	5	12	1581
13	6	15	1184
11	7	16	1511
13	6	14	1674
11	6	18	7638
9	7	19	9634
5	7	21	110863
5	8	19	68874
-1	9	20	174235
-1	8	23	124887
3	6	19	122908
3	5	16	26325
5	4	16	12815
5	4	20	21924
7	3	17	8497
9	3	19	12819
7	4	22	17449
9	3	21	5974
7	4	24	5137
5	5	26	5602
3	6	23	74016
1	7	24	77042
5	5	19	74510
9	3	15	7271
7	4	16	19967
1	5	17	19551
-1	6	17	34136
-3	7	16	35553
-5	8	15	28940
-7	9	16	49401
-5	9	16	61661
-3	8	17	86523
-5	9	18	115845
-7	10	17	82155
-3	9	18	136255
-1	8	17	99847
-3	9	17	103119
-5	10	15	35092
-7	11	16	46593
-9	11	16	48833
-7	11	20	78769
-5	10	20	132505
-3	10	20	127537
-1	9	19	160479
1	8	20	196484
1	8	18	147309
-1	8	14	24020
3	8	16	63470
5	7	16	62451
3	8	15	34625
1	9	18	99732
9	6	15	35298
11	5	15	27865
7	5	19	80716
5	6	26	13470
3	6	24	48132
5	6	24	43012
5	6	23	68822
3	7	24	74332
3	7	26	25744
1	7	26	28406
3	6	25	29561
-3	10	21	122243
-5	11	19	74092
-7	11	19	79509
-5	10	18	110845
-7	11	21	61780
-9	12	20	30463
-7	11	23	28274
-9	12	21	21317
-7	11	22	45944
-5	10	25	25202
-3	10	25	29558
1	8	25	55505
3	8	21	125698
3	8	18	119664
7	6	20	91322
5	6	16	57068
1	7	17	95572
-1	8	20	195787
-3	8	22	102180
-1	7	23	66671
-5	9	25	19118
-7	9	21	36028
-3	7	15	23570
-1	7	15	30931
-9	11	14	21305
-11	12	15	24026
-13	13	14	9982
-11	12	16	28623
-13	12	12	5655
-11	11	11	3405
-9	10	14	23331
-7	10	18	96318
-5	9	19	131623
-5	9	13	13076
-5	8	12	5073
-3	8	12	5841
-1	8	12	5882
1	7	9	327
3	7	11	2735
5	7	13	13301
7	6	12	6113
9	6	12	7426
7	7	14	20611
7	7	15	36786
9	7	11	3029
3	8	17	86469
1	8	17	99178
-1	9	16	59284
1	9	16	49465
-3	10	17	75276
-3	10	19	122827
-5	11	20	78350
-7	11	18	78468
-5	10	17	85928
-3	10	23	74277
-1	10	23	45173
1	9	26	13323
3	8	25	26732
5	7	25	19188
3	8	26	14041
5	8	26	1729
7	6	24	17581
5	7	24	35729
3	8	23	72079
-5	9	20	127422
-11	12	17	33375
-3	9	14	20177
-1	9	14	18685
1	9	12	3823
-1	10	13	6737
-3	11	14	9236
1	10	15	17130
3	10	15	9145
5	9	15	13481
5	8	20	61344
1	10	19	44148
-1	11	18	24365
-3	11	20	53652
-7	12	23	10267
-5	11	24	20986
-1	10	25	16044
1	9	25	25497
3	9	23	18661
5	9	21	5468
3	10	20	7137
1	10	22	21973
-1	10	18	71973
1	10	18	40969
3	10	16	11438
3	9	11	1520
5	8	13	9073
3	8	13	9502
3	8	10	1116
1	8	12	5804
3	7	12	4367
5	6	13	9834
1	8	14	24028
-1	9	15	37323
-3	9	15	40867
-1	8	16	71365
-1	8	18	147018
-3	9	20	178097
-1	9	23	112149
3	7	17	104128
-1	8	22	165224
-3	9	23	108387
-5	9	23	57489
-1	8	19	175055
1	8	19	174282
-3	8	23	71734
-1	7	24	43316
-5	9	22	83695
-3	8	24	47221
-7	10	19	101535
-9	11	20	47946
-11	12	18	28007
-13	13	17	10895
-15	13	17	2021
-17	13	13	1543
-19	13	9	315
-17	12	12	352
-15	11	14	425
-13	10	14	1743
-11	9	14	2871
-13	10	11	2285
-11	9	12	2836
-9	9	16	21715
-7	8	17	22183
-5	7	17	19869
-3	6	18	13445
-3	7	19	60742
-1	6	18	40530
-5	8	21	46252
-7	9	20	51333
5	6	19	132800
9	4	22	13509
7	5	22	45355
9	4	21	21260
11	4	17	32881
9	5	20	47936
11	5	18	27204
9	6	19	42668
7	6	19	102622
9	6	17	53387
7	7	18	67133
1	9	24	43159
3	9	22	29968
5	8	21	45965
5	8	17	58853
3	9	15	23577
1	10	16	23850
3	9	19	62151
5	8	18	70140
-1	10	19	87189
-3	11	18	46983
-1	10	20	89241
1	10	17	34211
7	7	17	62993
9	6	16	46322
